alg,param,clusters,noise,ARI,NMI,F1
DBSCAN,"eps=0.05,min_samples=2",113,742,0.0013833910553671086,0.40281521687929067,0.006366847712263163
DBSCAN,"eps=0.05,min_samples=3",21,926,0.00034882299952911214,0.13373615593948804,0.004819807024456398
DBSCAN,"eps=0.05,min_samples=5",0,1000,0.0,0.0,0.005037380562107704
DBSCAN,"eps=0.05,min_samples=7",0,1000,0.0,0.0,0.004814035873363667
DBSCAN,"eps=0.07,min_samples=2",126,688,0.001851816605511017,0.45646944307147,0.005953913491246138
DBSCAN,"eps=0.07,min_samples=3",32,876,0.0006249887111141866,0.20615014043534538,0.005366094753936313
DBSCAN,"eps=0.07,min_samples=5",5,963,0.0002694219202796426,0.06390085861995408,0.0055212982791093684
DBSCAN,"eps=0.07,min_samples=7",2,981,9.487474846451015e-05,0.029522168136499032,0.005316645889919012
DBSCAN,"eps=0.09000000000000001,min_samples=2",146,611,0.0030367475881332984,0.5287427115908249,0.007879865817142085
DBSCAN,"eps=0.09000000000000001,min_samples=3",41,821,0.0011493599945399137,0.27980628284400655,0.006244176337475949
DBSCAN,"eps=0.09000000000000001,min_samples=5",8,940,0.00039753290967166083,0.09870820519769483,0.0057079523413688
DBSCAN,"eps=0.09000000000000001,min_samples=7",2,976,0.00012988498147726592,0.03631406848399581,0.005185694866329904
DBSCAN,"eps=0.11000000000000001,min_samples=2",168,522,0.0054086107575535775,0.6065487826468444,0.009895314809786707
DBSCAN,"eps=0.11000000000000001,min_samples=3",59,740,0.002040790847660292,0.3795006508922806,0.007666360012266176
DBSCAN,"eps=0.11000000000000001,min_samples=5",13,906,0.0006268531647293256,0.14830164969073356,0.005835156819839533
DBSCAN,"eps=0.11000000000000001,min_samples=7",2,967,0.00018580363974024684,0.04612261468663541,0.005082938893863801
DBSCAN,"eps=0.13,min_samples=2",171,446,0.008424836387010621,0.650387401478067,0.012587200485289657
DBSCAN,"eps=0.13,min_samples=3",77,634,0.003755313859309948,0.4786410774724982,0.008401942949307028
DBSCAN,"eps=0.13,min_samples=5",18,859,0.0009474665707631058,0.20520009421970364,0.0058593544171733885
DBSCAN,"eps=0.13,min_samples=7",5,941,0.0002887329650666885,0.08225525987215924,0.004991489774501072
DBSCAN,"eps=0.15000000000000002,min_samples=2",170,383,0.012110189079661103,0.6751800566761277,0.01788549052809821
DBSCAN,"eps=0.15000000000000002,min_samples=3",77,569,0.005369463633925214,0.5168548866875805,0.008997050147492625
DBSCAN,"eps=0.15000000000000002,min_samples=5",22,783,0.0017261707377669421,0.2798604848288331,0.007192416194373142
DBSCAN,"eps=0.15000000000000002,min_samples=7",8,893,0.0005402653053939592,0.13665951919438135,0.0056703767895248305
DBSCAN,"eps=0.17000000000000004,min_samples=2",145,321,0.01709054585936331,0.6626666699262742,0.024953611875359907
DBSCAN,"eps=0.17000000000000004,min_samples=3",61,489,0.008276403812084665,0.5207663867594433,0.01173901173901174
DBSCAN,"eps=0.17000000000000004,min_samples=5",29,646,0.0039940474489039745,0.38765651204461565,0.008636064958227729
DBSCAN,"eps=0.17000000000000004,min_samples=7",15,767,0.0019107353489344002,0.2615309654974621,0.006603495020535259
DBSCAN,"eps=0.19,min_samples=2",122,275,0.021670624942865868,0.6501316312390815,0.022749810418246516
DBSCAN,"eps=0.19,min_samples=3",57,405,0.012466618957844578,0.5405051836648673,0.017048481619605753
DBSCAN,"eps=0.19,min_samples=5",20,584,0.005924087074290754,0.3934446422642539,0.009715821812596006
DBSCAN,"eps=0.19,min_samples=7",18,652,0.004000135297927621,0.3447816521254767,0.009305774399851701
DBSCAN,"eps=0.21000000000000002,min_samples=2",108,229,0.02503929020268592,0.6439704802167859,0.02627142455745996
DBSCAN,"eps=0.21000000000000002,min_samples=3",55,335,0.01663590045703321,0.5578243529701354,0.02292565947242206
DBSCAN,"eps=0.21000000000000002,min_samples=5",21,491,0.009023822939967431,0.430922936411892,0.014627375613922699
DBSCAN,"eps=0.21000000000000002,min_samples=7",12,575,0.006161944725636708,0.3618948150698572,0.011663475715763297
DBSCAN,"eps=0.23000000000000004,min_samples=2",85,195,0.024956841362550712,0.6185924736961026,0.026921066387872453
DBSCAN,"eps=0.23000000000000004,min_samples=3",45,275,0.019098404813534225,0.5511387774828014,0.02648803436285539
DBSCAN,"eps=0.23000000000000004,min_samples=5",23,398,0.012673641883748948,0.46845661908597463,0.01666366095581605
DBSCAN,"eps=0.23000000000000004,min_samples=7",10,514,0.007750078721654358,0.3738045657106647,0.012961528530854634
Agglomerative,linkage=ward,20,0,0.048767171654781165,0.6085628015503539,0.055822067160924554
Agglomerative,linkage=complete,20,0,0.027542244195248353,0.5515171521362939,0.030998509687034277
Agglomerative,linkage=average,20,0,0.02304342915185111,0.5097663733737373,0.02642805119134325
Agglomerative,linkage=single,20,0,0.00019043306787881064,0.05908976159662464,0.00479068271460735
KMeans,n_clusters=10,10,0,0.02967762767545933,0.5196273132440952,0.03804127883447997
KMeans,n_clusters=15,15,0,0.042392742806178545,0.5709551803883648,0.04930353742860006
KMeans,n_clusters=20,20,0,0.053244190877469816,0.6129906554006355,0.05974767912401809
KMeans,n_clusters=30,30,0,0.07136082736431608,0.6500874746458617,0.0803799780781878
KMeans,n_clusters=50,50,0,0.10629276020973387,0.7160961488746548,0.09410520750726936
KMeans,n_clusters=75,75,0,0.166185060237193,0.7663910652524561,0.17294520547945205
KMeans,n_clusters=100,100,0,0.19081190679765708,0.7903190429760042,0.17816683831101957
KMeans,n_clusters=150,150,0,0.2662645899905487,0.8328943201406851,0.24633431085043989
KMeans,n_clusters=200,200,0,0.34430101659714624,0.8644691876511278,0.3259827420901246
